YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 03 11 00 139  8.5  9.5 99.00 99.00 99.00 999 1012.2   4.8 999.0 999.0 99.0 99.00
2019 01 03 12 00 193 10.6 11.2 99.00 99.00 99.00 999 1011.7   5.3 999.0 999.0 99.0 99.00
2019 01 03 13 00 205  7.4  7.8 99.00 99.00 99.00 999 1012.1   5.6 999.0 999.0 99.0 99.00
2019 01 03 14 00 227  6.8  7.5 99.00 99.00 99.00 999 1011.8   5.7 999.0 999.0 99.0 99.00
2019 01 03 15 00 245  6.1  7.1 99.00 99.00 99.00 999 1011.8   5.5 999.0 999.0 99.0 99.00
2019 01 03 16 00 281  6.8  7.9 99.00 99.00 99.00 999 1010.8   6.1 999.0 999.0 99.0 99.00
2019 01 03 17 00 314 10.1 10.9 99.00 99.00 99.00 999 1010.1   6.0 999.0 999.0 99.0 99.00
2019 01 03 18 00 323  8.9  9.6 99.00 99.00 99.00 999 1010.1   6.0 999.0 999.0 99.0 99.00
2019 01 03 19 00 317  7.7  8.2 99.00 99.00 99.00 999 1010.2   6.6 999.0 999.0 99.0 99.00
2019 01 03 20 00 321  8.1  8.6 99.00 99.00 99.00 999 1011.0   6.2 999.0 999.0 99.0 99.00
2019 01 03 21 00 310  6.4  7.2 99.00 99.00 99.00 999 1012.2   6.3 999.0 999.0 99.0 99.00
2019 01 03 22 00 317  7.2  7.6 99.00 99.00 99.00 999 1012.5   5.9 999.0 999.0 99.0 99.00
2019 01 03 23 00 324  6.4  7.1 99.00 99.00 99.00 999 1013.4   5.5 999.0 999.0 99.0 99.00
2019 01 04 00 00 317  7.7  8.3 99.00 99.00 99.00 999 1014.4   4.8 999.0 999.0 99.0 99.00
2019 01 04 01 00 314  7.2  7.7 99.00 99.00 99.00 999 1015.1   4.3 999.0 999.0 99.0 99.00
2019 01 04 02 00 312  7.1  7.6 99.00 99.00 99.00 999 1015.7   3.9 999.0 999.0 99.0 99.00
2019 01 04 03 00 306  7.6  8.2 99.00 99.00 99.00 999 1016.0   3.4 999.0 999.0 99.0 99.00
2019 01 04 04 00 297  7.1  7.8 99.00 99.00 99.00 999 1015.6   2.9 999.0 999.0 99.0 99.00
2019 01 04 05 00 302  8.5  9.4 99.00 99.00 99.00 999 1015.9   3.1 999.0 999.0 99.0 99.00
2019 01 04 06 00 289  7.4  7.9 99.00 99.00 99.00 999 1016.2   3.3 999.0 999.0 99.0 99.00
2019 01 04 07 00 282  5.1  5.5 99.00 99.00 99.00 999 1016.2   3.5 999.0 999.0 99.0 99.00
2019 01 04 08 00 283  9.1  9.9 99.00 99.00 99.00 999 1016.1   3.6 999.0 999.0 99.0 99.00
2019 01 04 09 00 282  8.5  9.1 99.00 99.00 99.00 999 1015.8   3.6 999.0 999.0 99.0 99.00
2019 01 04 10 00 269  6.2  6.9 99.00 99.00 99.00 999 1015.7   3.6 999.0 999.0 99.0 99.00
2019 01 04 11 00 264  6.6  7.2 99.00 99.00 99.00 999 1015.9   3.8 999.0 999.0 99.0 99.00
2019 01 04 12 00 262  7.0  7.5 99.00 99.00 99.00 999 1016.1   3.9 999.0 999.0 99.0 99.00
2019 01 04 13 00 231  9.7 10.5 99.00 99.00 99.00 999 1015.8   4.5 999.0 999.0 99.0 99.00
2019 01 04 14 00 233 10.9 11.6 99.00 99.00 99.00 999 1015.9   4.7 999.0 999.0 99.0 99.00
2019 01 04 16 00 236 11.3 12.7 99.00 99.00 99.00 999 1014.4   4.3 999.0 999.0 99.0 99.00
2019 01 04 17 00 232 13.6 14.4 99.00 99.00 99.00 999 1013.2   4.4 999.0 999.0 99.0 99.00
2019 01 04 18 00 240  9.6 10.3 99.00 99.00 99.00 999 1012.9   5.0 999.0 999.0 99.0 99.00
2019 01 04 19 00 235 11.5 12.8 99.00 99.00 99.00 999 1012.2   5.1 999.0 999.0 99.0 99.00
2019 01 04 20 00 236 12.4 13.4 99.00 99.00 99.00 999 1012.4   5.5 999.0 999.0 99.0 99.00
2019 01 04 21 00 232 13.4 14.5 99.00 99.00 99.00 999 1012.2   5.9 999.0 999.0 99.0 99.00
2019 01 04 22 00 234 12.3 13.8 99.00 99.00 99.00 999 1011.8   6.1 999.0 999.0 99.0 99.00
2019 01 04 23 00 236 11.9 14.1 99.00 99.00 99.00 999 1012.5   6.5 999.0 999.0 99.0 99.00
2019 01 05 00 00 237 11.5 12.5 99.00 99.00 99.00 999 1012.6   6.8 999.0 999.0 99.0 99.00
2019 01 05 01 00 233 10.4 11.1 99.00 99.00 99.00 999 1012.2   6.9 999.0 999.0 99.0 99.00
2019 01 05 02 00 230 10.0 10.7 99.00 99.00 99.00 999 1011.7   6.9 999.0 999.0 99.0 99.00
2019 01 05 03 00 231  9.5  9.9 99.00 99.00 99.00 999 1010.9   7.0 999.0 999.0 99.0 99.00
2019 01 05 04 00 227  9.4 10.0 99.00 99.00 99.00 999 1010.2   7.0 999.0 999.0 99.0 99.00
2019 01 05 05 00 225  6.3  6.5 99.00 99.00 99.00 999 1009.8   6.9 999.0 999.0 99.0 99.00
2019 01 05 06 00 221  4.8  4.9 99.00 99.00 99.00 999 1009.3   6.9 999.0 999.0 99.0 99.00
2019 01 05 07 00 201  4.6  4.7 99.00 99.00 99.00 999 1008.5   7.5 999.0 999.0 99.0 99.00
2019 01 05 08 00 173  4.8  5.0 99.00 99.00 99.00 999 1007.7   7.1 999.0 999.0 99.0 99.00
2019 01 05 09 00 148  4.0  4.1 99.00 99.00 99.00 999 1006.3   7.2 999.0 999.0 99.0 99.00
2019 01 05 10 00 115  3.9  4.0 99.00 99.00 99.00 999 1005.8   6.8 999.0 999.0 99.0 99.00
2019 01 05 11 00 115  5.9  6.1 99.00 99.00 99.00 999 1004.5   6.3 999.0 999.0 99.0 99.00
