YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 50 158  9.6 11.5  0.81  4.00  3.77 135 1023.7   3.6   7.0   1.5 99.0 99.00
2019 01 01 01 50 136 10.6 12.3  0.99  4.35  3.95 131 1021.0   4.1   7.0   1.7 99.0 99.00
2019 01 01 02 50 143 11.1 13.3  1.22  4.76  4.18 130 1019.3   4.1   7.0   2.6 99.0 99.00
2019 01 01 03 50 139 12.3 14.6  1.31  5.00  4.15 131 1017.3   4.2   7.0   3.3 99.0 99.00
2019 01 01 04 50 133 12.3 15.6  1.41  5.00  4.31 134 1014.8   5.0   7.0   4.4 99.0 99.00
2019 01 01 05 50 135 12.4 14.9  1.38  5.00  4.21 133 1011.6   5.5   7.0   5.4 99.0 99.00
2019 01 01 06 50 130 10.4 12.7  1.53  5.56  4.45 126 1009.5   6.2   7.0   6.1 99.0 99.00
2019 01 01 07 50 127 10.6 12.8  1.72  5.88  4.78 109 1005.6   6.4   7.0   6.4 99.0 99.00
2019 01 01 08 50 129 10.5 12.2  1.83  5.56  4.71 126 1001.6   6.8   7.0   6.8 99.0 99.00
2019 01 01 09 50 148  6.5  8.5  1.56  6.67  4.65  94  998.9   7.2   7.0   7.2 99.0 99.00
2019 01 01 10 50 207  5.9  6.6  1.52  7.14  5.03  79  997.7   9.2   7.0   9.2 99.0 99.00
2019 01 01 11 50 221  9.9 12.7  1.53  7.69  4.90  98  996.4  10.6   7.0   9.9 99.0 99.00
2019 01 01 12 50 236 10.3 12.4  1.71  8.33  5.21 106  996.6  10.9   7.0   9.0 99.0 99.00
2019 01 01 13 50 239  9.0 10.9  1.74  8.33  5.23 100  997.5  10.4   7.0   8.6 99.0 99.00
2019 01 01 14 50 239 10.5 16.4  1.69  9.09  5.56  97  997.7  11.6   7.0   8.9 99.0 99.00
2019 01 01 15 50 271  9.8 11.3  1.48  9.09  5.15 101  998.9  10.7   7.0   7.7 99.0 99.00
2019 01 01 16 50 281 13.4 17.8  1.70  8.33  4.76 114  999.4  10.7   6.9   4.5 99.0 99.00
2019 01 01 17 50 282 11.7 14.2  1.62  9.09  4.69  99 1001.2  10.0   7.0   4.2 99.0 99.00
2019 01 01 18 50 297 12.7 14.9  1.55  9.09  4.65 115 1002.7  10.1   7.0   3.1 99.0 99.00
2019 01 01 19 50 310 11.4 16.1  1.44  4.55  4.43 319 1005.1   9.1   7.0   2.3 99.0 99.00
2019 01 01 20 50 322  9.1 11.3  1.70  5.00  4.52 318 1007.3   7.9   7.1   2.3 99.0 99.00
2019 01 01 21 50 320 10.2 12.3  1.38  4.76  4.43 321 1009.4   6.8   7.1   0.8 99.0 99.00
2019 01 01 22 50 316 10.9 12.8  1.39  4.17  4.21 333 1011.6   6.2   7.1  -0.1 99.0 99.00
2019 01 01 23 50 335  8.2  9.5  1.13  4.17  4.14 332 1013.1   5.3   7.1  -0.5 99.0 99.00
2019 01 02 00 50 330  9.6 12.2  1.07  3.85  3.97 337 1014.5   4.9   7.1  -1.2 99.0 99.00
2019 01 02 01 50 328 10.0 12.0  1.13  4.00  3.80 342 1015.7   3.9   7.1  -2.5 99.0 99.00
2019 01 02 02 50 325 10.9 13.4  1.13  4.55  3.93  11 1016.7   3.3   7.1  -3.7 99.0 99.00
2019 01 02 03 50 315 11.0 13.0  1.08  3.57  3.81 332 1017.3   2.7   7.0  -4.2 99.0 99.00
2019 01 02 04 50 315 10.0 12.5  0.98  3.70  3.88 333 1018.5   2.0   7.0  -5.3 99.0 99.00
2019 01 02 05 50 319 10.5 12.5  1.02  3.57  3.84 331 1019.6   1.1   7.0  -6.1 99.0 99.00
2019 01 02 06 50 317  9.8 11.9  1.00  3.85  3.86 326 1020.8   0.7   7.0  -6.9 99.0 99.00
2019 01 02 07 50 320  9.5 11.2  0.99  3.70  3.85 339 1021.4  -0.1   7.0  -7.4 99.0 99.00
2019 01 02 08 50 315  7.6  9.0  0.97  3.70  4.07 337 1022.6  -0.8   7.0  -7.7 99.0 99.00
2019 01 02 09 50 321  6.4  8.4  1.01  5.56  4.17  47 1022.9  -1.2   7.0  -8.1 99.0 99.00
2019 01 02 10 50 333  6.5  8.3  0.96  9.09  4.27 117 1024.2  -1.5   7.0  -9.1 99.0 99.00
2019 01 02 11 50 341  7.4  9.2  0.91  5.00  3.98  37 1025.5  -1.5   6.9  -8.9 99.0 99.00
2019 01 02 20 50 124  1.6  2.7  0.60  7.69  5.08  85 1026.0  -0.4   6.9 -12.4 99.0 99.00
2019 01 02 21 50 134  2.1  3.5  0.59  5.26  4.87  32 1025.6  -0.1   6.9 -12.4 99.0 99.00
2019 01 02 22 50 147  2.4  3.4  0.61  5.00  4.91  42 1025.4   0.4   6.8 -11.4 99.0 99.00
2019 01 02 23 50 161  3.8  5.1  0.58  5.56  4.83  40 1025.8   0.7   6.8 -10.5 99.0 99.00
2019 01 03 00 50 143  4.2  5.5  0.53  6.67  4.79  58 1024.6   1.1   6.9  -8.3 99.0 99.00
2019 01 03 01 50 157  5.4  6.5  0.58  5.26  4.34  29 1023.8   1.3   6.9  -8.5 99.0 99.00
2019 01 03 02 50 149  5.7  7.3  0.51  4.76  3.98  32 1022.6   1.5   6.9  -7.3 99.0 99.00
2019 01 03 03 50 153  6.2  8.1  0.52  2.60  3.59 151 1021.9   1.7   6.9  -3.8 99.0 99.00
2019 01 03 04 50 154  7.0  9.0  0.59  9.09  3.56 104 1021.6   2.1   6.8  -2.6 99.0 99.00
2019 01 03 05 50 152  7.2  8.8  0.63  3.23  3.61 137 1020.5   2.6   6.8  -1.8 99.0 99.00
2019 01 03 06 50 141 10.3 12.4  0.74  3.45  3.58 143 1018.5   3.0   6.9  -1.5 99.0 99.00
2019 01 03 07 50 138 11.2 13.5  0.95  4.17  3.68 135 1016.6   3.4   6.8  -1.0 99.0 99.00
2019 01 03 08 50 150 10.9 13.1  1.23  4.35  4.08 134 1014.7   3.9   6.9   0.2 99.0 99.00
2019 01 03 09 50 154  9.5 11.2  1.16  4.55  4.11 136 1012.8   3.9   6.9   0.5 99.0 99.00
2019 01 03 10 50 154  9.6 11.4  1.15  4.55  3.96 133 1011.6   4.2   6.9   1.4 99.0 99.00
2019 01 03 11 50 159  9.1 11.2  1.30  4.76  4.09 125 1010.9   4.4   6.9   1.9 99.0 99.00
2019 01 03 12 50 169  7.5  9.3  1.15  4.76  4.05 131 1010.7   4.3   6.9   2.0 99.0 99.00
2019 01 03 13 50 179  6.5  8.1  1.05  5.00  4.24 128 1010.6   4.1   6.9   2.5 99.0 99.00
2019 01 03 14 50 239  5.0  6.1  0.89  4.76  4.28 133 1010.8   3.6   6.9   2.7 99.0 99.00
2019 01 03 15 50 259  4.9  6.4  0.79  4.76  4.31 135 1009.8   4.3   6.9   3.2 99.0 99.00
2019 01 03 17 50 305  7.2  8.6  0.65  6.67  3.96 109 1008.5   5.6   6.9   1.7 99.0 99.00
2019 01 03 18 50 314  8.3  9.7  0.72  2.74  3.34 314 1008.8   6.0   6.8   0.7 99.0 99.00
2019 01 03 19 50 325  8.6 10.9  0.84  3.33  3.68 323 1009.6   6.0   6.8   0.7 99.0 99.00
2019 01 03 20 50 329  8.7 10.4  0.91  3.45  3.82 329 1010.3   5.7   6.8   0.5 99.0 99.00
2019 01 03 21 50 332  6.8  9.1  0.92  3.57  3.95 330 1011.2   5.5   6.9   0.3 99.0 99.00
2019 01 03 22 50 330  7.6  9.0  0.87  6.67  3.90 123 1012.0   5.1   6.9   0.0 99.0 99.00
2019 01 03 23 50 314  7.6  9.6  0.80  6.67  3.85 123 1012.6   5.0   7.0  -2.0 99.0 99.00
2019 01 04 00 50 313  7.9  9.1  0.72  6.67  3.63 114 1013.2   4.7   7.0  -1.9 99.0 99.00
2019 01 04 01 50 301  7.4  9.1  0.66  6.67  3.66 117 1013.8   4.3   7.0  -2.0 99.0 99.00
2019 01 04 02 50 299  6.4  7.5  0.68  3.13  3.61 319 1013.9   4.0   7.0  -2.5 99.0 99.00
